projectid,countryname,regionname,sector_group,approval_year,closingyear,env_cat,planned_cost_adj_both,duration_planned,cancellation,delay,cost_change_perc_num,app_E_pct,app_S_pct,app_G_pct,app_E1_pct,app_E2_pct,app_E3_pct,app_S1_pct,app_S2_pct,app_S3_pct,app_S4_pct,app_S5_pct,app_G1_pct,app_G2_pct,app_G3_pct,app_G4_pct,app_G5_pct,E_emergence_rate,S_emergence_rate,G_emergence_rate,E1_emergence_rate,E2_emergence_rate,E3_emergence_rate,S1_emergence_rate,S2_emergence_rate,S3_emergence_rate,S4_emergence_rate,S5_emergence_rate,G1_emergence_rate,G2_emergence_rate,G3_emergence_rate,G4_emergence_rate,G5_emergence_rate,app_S3a_Land_pct,app_S3b_Displac_pct,app_G2a_Cost_pct,app_G2b_Fiscal_pct,app_G2c_Econ_pct,app_E3a_Habitat_pct,app_E3b_Species_pct,app_E3c_Forest_pct,app_E3d_Biodiv_pct,S3a_Land_emergence_rate,S3b_Displac_emergence_rate,G2a_Cost_emergence_rate,G2b_Fiscal_emergence_rate,G2c_Econ_emergence_rate,E3a_Habitat_emergence_rate,E3b_Species_emergence_rate,E3c_Forest_emergence_rate,E3d_Biodiv_emergence_rate,era,size_category,low_S3_coverage,low_S4_coverage,low_E3_coverage,high_G2_emergence,risk_score
P002176,Nigeria,Western and Central Africa,Transport,1993,1999,B,905.2411001,187.9,True,15.4,-1.64,0.656624179219776,1.284279644650444,3.3555426805716495,0.18829663962920046,0.1689841637697953,0.29934337582078024,0.82078022402472,0.30417149478563155,0.0772499034376207,0.04828118964851294,0.033796832753959054,0.3910776361529548,0.8883738895326381,0.7290459636925454,0.869061413673233,0.4779837775202781,0.0,0.5454545454545454,0.3559322033898305,0.0,0.0,0.0,0.5714285714285714,0.5,0.0,0.0,0.0,0.2222222222222222,0.4782608695652174,0.38461538461538464,0.18181818181818182,0.3333333333333333,0.06276554654306682,0.014484356894553881,0.19312475859405176,0.48764001544998065,0.2076091154886056,0.19795287755890303,0.03862495171881035,0.06276554654306682,0.0,-0.9285714285714286,-0.75,-0.7608695652173914,-0.6916666666666667,-0.6415094339622641,-0.9302325581395349,-0.8888888888888888,-0.9285714285714286,0.0,1989-94,Small,1,1,0,1,3
P002770,Tanzania,Eastern and Southern Africa,Transport,1994,2006,B,1302.396819,205.0,True,182.5,3.0,0.28399518652226236,1.362214199759326,3.7785800240673884,0.08664259927797834,0.08664259927797834,0.11070998796630567,0.6498194945848376,0.39951865222623345,0.07701564380264742,0.20697954271961494,0.02888086642599278,0.7460890493381468,1.2996389891696751,0.49578820697954273,0.8038507821901323,0.4332129963898917,0.5,0.3333333333333333,0.4666666666666667,0.4,0.75,0.4,0.34782608695652173,0.46153846153846156,0.3333333333333333,0.0,0.3333333333333333,0.375,0.48,0.5882352941176471,0.5333333333333333,0.2631578947368421,0.07701564380264742,0.0,0.1829121540312876,0.7605294825511432,0.3561973525872443,0.04332129963898917,0.05776173285198556,0.009626955475330927,0.0,-0.65,0.5,-0.14925373134328357,-0.24313725490196078,-0.02054794520547945,0.20833333333333334,-0.9230769230769231,-0.6666666666666666,0.0,1989-94,Medium,1,0,1,1,3
P002970,Uganda,Eastern and Southern Africa,Transport,1999,2008,B,555.0101137,167.7,False,106.4,0.88,0.8009751001218874,1.3117418306343953,4.50403389633757,0.20314585872656565,0.20314585872656565,0.39468338266875613,0.48174589355157005,0.34244587613906785,0.22055836090312841,0.19734169133437807,0.0696500087062511,0.8648209414359511,1.7238377154797142,0.6674792501015729,0.8648209414359511,0.383075047884381,0.4,0.3888888888888889,0.29850746268656714,0.5,0.25,0.5,0.3684210526315789,0.6,0.3333333333333333,0.0,0.0,0.3333333333333333,0.2564102564102564,0.25806451612903225,0.4230769230769231,0.21428571428571427,0.16251668698125254,0.058041673921875904,0.26699170004062917,0.9112542805734517,0.5455917348656335,0.15671251958906496,0.02321666956875036,0.20895002611875327,0.00580416739218759,-0.8387096774193549,-0.75,-0.2916666666666667,-0.6935483870967742,-0.21935483870967742,-0.41025641025641024,-0.8,-0.972972972972973,-0.5,1995-99,Small,1,0,0,0,1
P003493,China,East Asia and Pacific,Transport,1995,2001,A,2809.548851,183.5,False,0.0,14.47,2.9974430855488126,2.4059640799728905,2.4983826745941284,0.6654138812729121,1.7220664797757308,0.6099627245001694,0.6623332614522042,0.5637534271895506,0.924185946212378,0.13554727211114878,0.12014417300760913,0.4682542127476048,1.2014417300760913,0.1632728504975201,0.35427127938141156,0.3111426018915006,0.2,0.35555555555555557,0.4344262295081967,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.4375,0.38461538461538464,0.2,0.0,0.4,0.3333333333333333,0.34545454545454546,0.6956521739130435,0.5294117647058824,0.3333333333333333,0.5545115677274268,0.3696743784849512,0.19407904870459936,0.5637534271895506,0.4436092541819414,0.4343673947198176,0.06469301623486645,0.10782169372477743,0.0030806198207079267,-0.7609756097560976,-0.6736111111111112,-0.3804347826086957,-0.6167400881057269,-0.49740932642487046,-0.5297297297297298,-0.8695652173913043,-0.868421052631579,-0.5,1995-99,Large,0,0,0,0,0
P003507,China,East Asia and Pacific,Energy,1995,2001,A,15962.62904,193.6,False,0.0,70.74,2.341475762561701,2.126313124920896,3.261190566594946,0.33329114458085474,1.4259798337763152,0.582204784204531,0.9197148040332448,0.2615702653672531,0.6665822891617095,0.20672488714508713,0.07172087921360165,0.48517065350377586,1.1939416951440744,0.4682951525123403,0.5147027802387883,0.5990802851959668,0.40476190476190477,0.3888888888888889,0.39037433155080214,0.35294117647058826,0.37142857142857144,0.48717948717948717,0.40540540540540543,0.3888888888888889,0.34782608695652173,0.25,0.5,0.2916666666666667,0.43209876543209874,0.5454545454545454,0.25925925925925924,0.2727272727272727,0.23625701388009954,0.4303252752816099,0.19828713664936928,0.6750200396574273,0.320634518837278,0.2868835168544066,0.17719276041007467,0.054845378222165966,0.06328312871788382,-0.0761904761904762,-0.04591836734693878,-0.15853658536585366,-0.10689655172413794,-0.21428571428571427,-0.16101694915254236,-0.18055555555555555,-0.08,-0.24,1995-99,Large,0,0,0,1,1
P003518,China,East Asia and Pacific,Transport,1992,2000,A,5184.94184,201.3,False,30.5,30.6,0.8936363319021189,1.996718679093797,2.7891227702726287,0.2757705867979195,0.27227981987642685,0.34558592522777254,0.6667364820050965,0.7784410234928614,0.34558592522777254,0.1326491430167208,0.0733061053513457,0.40492896289314767,1.0995915802701852,0.481725835165986,0.43983663210807417,0.36303975983523584,0.34615384615384615,0.4788732394366197,0.5423728813559322,0.2222222222222222,0.4,0.4166666666666667,0.4230769230769231,0.3333333333333333,0.7777777777777778,0.25,0.5,0.4444444444444444,0.5416666666666666,0.5384615384615384,0.65,0.5357142857142857,0.2478444514259783,0.09774147380179425,0.1885014137606032,0.5724857751247949,0.33860439138478726,0.20595524836806647,0.027926135371941215,0.11170454148776486,0.0,-0.043795620437956206,0.03389830508474576,-0.12371134020618557,-0.21851851851851853,-0.3541666666666667,-0.676056338028169,-0.7,-0.3541666666666667,0.0,1989-94,Large,0,0,0,1,1
P003534,China,East Asia and Pacific,Transport,1992,2000,A,3644.306812,186.1,False,60.9,-13.02,0.8550544752447937,2.0181124442605616,2.6295223647313017,0.31719762791339123,0.31719762791339123,0.2206592194180113,0.5102744449041512,0.7906955362478738,0.48269204247689973,0.19307681699075988,0.04137360364087712,0.3677653656966855,1.0619224934491795,0.4137360364087712,0.44591550590723117,0.3401829632694341,0.4444444444444444,0.40384615384615385,0.4406779661016949,0.25,0.42857142857142855,0.5714285714285714,0.45454545454545453,0.25,0.5384615384615384,0.25,0.0,0.15384615384615385,0.4583333333333333,0.5384615384615384,0.5,0.4,0.2758240242725142,0.2068680182043856,0.3034064266997656,0.41833310347997976,0.3401829632694341,0.1333149450650485,0.013791201213625707,0.06895600606812854,0.004597067071208569,-0.5316455696202531,-0.4918032786885246,-0.5647058823529412,-0.24489795918367346,-0.5851063829787234,-0.43902439024390244,-0.75,-0.4090909090909091,-0.5,1989-94,Large,0,0,1,1,2
P003569,China,East Asia and Pacific,Transport,1995,2001,A,3958.68101,180.0,True,15.3,-12.6,1.0910537778522367,3.639638130340091,2.7412464399396885,0.3874183280281454,0.42930139051767463,0.2743340593064165,0.9088624560227844,1.602027140224493,0.9381805997654549,0.1319316468420171,0.05863628748534093,0.3790417155302396,0.8921092310269727,0.47746691238063327,0.5381973529904507,0.4544312280113922,0.2222222222222222,0.1774193548387097,0.36507936507936506,0.25,0.2,0.2222222222222222,0.16666666666666666,0.2413793103448276,0.07692307692307693,0.0,0.0,0.30434782608695654,0.5121951219512195,0.3939393939393939,0.2,0.14285714285714285,0.4062657061484336,0.5319148936170213,0.20522700619869327,0.44814876863796277,0.23873345619031663,0.16543809683364047,0.014659071871335232,0.09423689060144078,0.0,-0.7522522522522522,-0.7491408934707904,-0.5887096774193549,-0.669260700389105,-0.6474820143884892,-0.6914893617021277,-0.875,-0.75,0.0,1995-99,Large,0,0,1,1,2
P003570,China,East Asia and Pacific,Transport,1993,2001,B,8512.323024,190.7,True,60.9,24.48,0.9485339200057705,1.4787030692105168,4.248566379341436,0.5265625563530133,0.3426263209146319,0.07934504273812529,0.5518087063151441,0.35344609946983085,0.4183647708010243,0.11541097125545498,0.039672521369062644,0.5013164063908825,2.575107296137339,0.1803296425866484,0.6672196775705991,0.3245933566559671,0.5142857142857142,0.3829787234042553,0.3697478991596639,0.5,0.5555555555555556,0.5,0.21052631578947367,0.4444444444444444,0.6153846153846154,0.6666666666666666,0.0,0.3333333333333333,0.30612244897959184,0.6842105263157895,0.35714285714285715,0.18181818181818182,0.1911494211418473,0.22721534965917697,0.34623291376636495,1.4390305478414542,0.7898438345295199,0.050492299924261554,0.014426371406931872,0.014426371406931872,0.0,-0.35443037974683544,-0.4431818181818182,-0.544,-0.779510022271715,-0.6319702602230484,-0.16,-0.8,0.0,0.0,1989-94,Large,0,1,1,0,2
P003571,China,East Asia and Pacific,Transport,1995,2004,B,6365.074847,230.8,True,53.3,-13.78,0.9689574735331061,2.359590884622286,3.911717207966984,0.6100843351875113,0.16149291225551768,0.19738022609007716,1.1304503857886237,0.22429571146599675,0.8074645612775884,0.0897182845863987,0.10766194150367844,0.5921406782702315,1.946886775524852,0.48447873676655306,0.4306477660147138,0.45756325139063336,0.46153846153846156,0.5151515151515151,0.5145631067961165,0.14285714285714285,0.6153846153846154,0.5,0.45454545454545453,0.7,0.5,0.0,0.3333333333333333,0.4,0.5306122448979592,0.5,0.6,0.4166666666666667,0.4306477660147138,0.37681679526287454,0.22429571146599675,1.2739996411268617,0.4485914229319935,0.10766194150367844,0.03588731383455949,0.05383097075183922,0.0,-0.4696969696969697,-0.7708333333333334,0.3013698630136986,-0.601123595505618,-0.10989010989010989,-0.5625,-0.8,-0.3,0.0,1995-99,Large,0,1,1,1,3
P003581,China,East Asia and Pacific,Transport,1992,2000,A,1960.854355,170.9,False,60.9,-1.49,0.5876253024541999,2.181510926758075,2.673119022928909,0.19203441256673195,0.2035564773207359,0.19203441256673195,0.8679955448016285,0.5761032377001959,0.4186350193954757,0.19203441256673195,0.12674271229404308,0.4301570841494796,0.9678534393363291,0.4647232784114913,0.44936052540615284,0.3610246956254561,0.34782608695652173,0.32142857142857145,0.41818181818181815,0.16666666666666666,0.2222222222222222,0.625,0.3,0.4,0.38461538461538464,0.2,0.25,0.23076923076923078,0.49019607843137253,0.2727272727272727,0.6111111111111112,0.23529411764705882,0.26116680109075546,0.1574682183047202,0.1574682183047202,0.4339977724008143,0.37638744863079465,0.12674271229404308,0.015362753005338556,0.04224757076468103,0.007681376502669278,-0.611764705882353,-0.3387096774193548,-0.509090909090909,-0.4551282051282051,-0.5390625,-0.4888888888888889,-0.5,-0.5333333333333333,-0.6666666666666666,1989-94,Medium,0,0,1,1,2
P003586,China,East Asia and Pacific,Water,1994,2002,B,2949.197723,179.8,False,76.2,22.8,4.223293422484839,1.7415642979318924,3.025967967656663,1.8597418752915564,1.9685896439122996,0.39496190328098274,0.7028455916653709,0.17415642979318924,0.6624164204633805,0.11195770486705021,0.09018815114290157,0.37941222204944797,1.461670035764267,0.29233400715285335,0.3327631783548437,0.5597885243352512,0.16071428571428573,0.4576271186440678,0.4050632911392405,0.13636363636363635,0.2,0.07692307692307693,0.4827586206896552,0.3333333333333333,0.4444444444444444,0.75,0.0,0.5151515151515151,0.3898305084745763,0.48148148148148145,0.3181818181818182,0.23529411764705882,0.4664904369460426,0.1959259835173379,0.21147566474887264,0.8459026589954906,0.40429171201990355,0.26745451718239777,0.09951795988182242,0.021769553724148655,0.0062198724926139015,-0.505,0.0661764705882353,-0.3838383838383838,-0.5352112676056338,-0.5443786982248521,-0.44166666666666665,-0.25,-0.5,-0.6666666666666666,1989-94,Large,0,1,0,1,2
P003612,China,East Asia and Pacific,Transport,1994,2000,A,2085.627158,192.8,False,0.0,12.3,1.0315427528858636,2.666573102698151,2.645521209782113,0.3017437984632118,0.3192870425599102,0.41051191186274166,1.1157503245500158,0.9438265324023719,0.37191677485000524,0.13332865513490755,0.10175081576085049,0.5613838110943477,0.7368162520613312,0.3157783937405705,0.5438405669976493,0.48770218588821446,0.0,0.24193548387096775,0.4380165289256198,0.0,0.0,0.0,0.2,0.375,0.1,0.0,0.2,0.1875,0.5,0.5882352941176471,0.3076923076923077,0.38461538461538464,0.2631486614504754,0.10876811339952984,0.1403459527735869,0.3613908283919862,0.23507947089575804,0.12631135749622818,0.13332865513490755,0.14736325041226622,0.003508648819339672,-0.7764705882352941,-0.5,0.0898876404494382,-0.5,-0.19469026548672566,-0.6222222222222222,-0.8780487804878049,-0.9767441860465116,-0.5,1989-94,Medium,0,0,0,1,1
P003616,China,East Asia and Pacific,Energy,1993,2002,A,5180.7616,262.4,False,15.1,44.66,2.9342781575926944,1.1477618643644893,3.433305055142472,0.5090074355007735,1.991117321223614,0.43415340086830684,0.5838614701332402,0.24452317979939117,0.18463995209341783,0.029941613852986677,0.10479564848545338,0.44413393881930235,1.5769249962572982,0.4141923249663157,0.3193772144318579,0.678676580667698,0.26153846153846155,0.35,0.3826086956521739,0.0,0.2765957446808511,0.3333333333333333,0.6428571428571429,0.2857142857142857,0.0,0.5,0.0,0.26666666666666666,0.43137254901960786,0.5454545454545454,0.5,0.0,0.1646788761914267,0.01996107590199112,0.22456210389740008,0.8533359948101202,0.49902689754977797,0.17465941414242228,0.1946204900444134,0.05988322770597335,0.00499026897549778,-0.6341463414634146,0.4375,-0.421875,-0.5110132158590308,-0.4888888888888889,-0.3148148148148148,-0.14492753623188406,0.038461538461538464,-0.5,1989-94,Large,1,1,0,1,3
P003619,China,East Asia and Pacific,Transport,1998,2005,A,1509.747734,191.5,True,0.0,-24.88,2.6654411764705883,1.40625,3.180147058823529,0.6893382352941176,1.4338235294117647,0.5422794117647058,0.3676470588235294,0.5330882352941176,0.25735294117647056,0.14705882352941177,0.1011029411764706,0.5422794117647058,1.681985294117647,0.3033088235294118,0.29411764705882354,0.3584558823529412,0.5,0.41379310344827586,0.5495495495495496,0.8,0.3684210526315789,0.5833333333333334,0.4444444444444444,0.45454545454545453,0.375,0.0,0.0,0.45454545454545453,0.5555555555555556,0.46153846153846156,0.7647058823529411,0.5,0.19301470588235295,0.06433823529411764,0.3952205882352941,0.8731617647058824,0.4136029411764706,0.4503676470588235,0.0,0.09191176470588235,0.0,-0.04878048780487805,0.4230769230769231,-0.16,-0.2733333333333333,-0.22972972972972974,-0.042105263157894736,0.0,-0.3125,0.0,1995-99,Medium,1,0,0,1,2
P003637,China,East Asia and Pacific,Water,1997,2005,B,676.0027773,183.2,False,76.2,-1.2,2.8893558554917966,3.491473369433444,2.351895255798917,0.747595571001374,1.9316253131819283,0.2101349713084943,1.5921765133758992,0.1858886284652065,0.4566394568819203,1.1759476278994585,0.08082114281095934,0.18992968560575446,1.107249656510143,0.3879414854926049,0.2869150569789057,0.3798593712115089,0.32653061224489793,0.3620689655172414,0.43478260869565216,0.3333333333333333,0.34210526315789475,0.2,0.375,0.5,0.4444444444444444,0.14285714285714285,1.0,0.4,0.3953488372093023,0.42857142857142855,0.6666666666666666,0.4,0.32732562838438534,0.12931382849753495,0.2343813141517821,0.6425280853471268,0.23034025701123415,0.05253374282712357,0.10102642851369918,0.04445162854602764,0.012123171421643902,-0.7526881720430108,-0.5116279069767442,-0.746268656716418,-0.5190476190476191,-0.23655913978494625,-0.42105263157894735,0.2714285714285714,-0.7692307692307693,-0.75,1995-99,Small,0,0,1,1,2
